subject,birth_city,birth_state,dialect_base_city,dialect_base_state,residence_city,residence_state
JW05,St. Louis,MO,St. Louis,MO,St. Louis,MO
JW06,Akron,OH,Chicago,IL,Madison,WI
JW07,Maquoketa,IA,Maquoketa,IA,Monona,WI
JW08,Milwaukee,WI,Brookfield,WI,Madison,WI
JW09,Ames,IA,Whitewater,WI,Madison,WI
JW11,St. Louis,MO,Brookfield,WI,Matthews,NC
JW12,Marinette,WI,Marinette,WI,Appleton,WI
JW13,Rockford,IL,Rockford,IL,Madison,WI
JW14,Neilsville,WI,Stoughton,WI,Stoughton,WI
JW15,Milwaukee,WI,Milwaukee,WI,Madison,WI
JW16,Chilton,WI,Kiel,WI,Madison,WI
JW17/22,Mankato,MN,Mankato,MN,Rochester,MN
JW18,Hudson,WI,Hudson,WI,Hudson,WI
JW19,Detroit,MI,Detroit,MI,Boca Raton,FL
JW20,Milford,MA,Milford,MA,Madison,WI
JW21,Philadelphia,PA,Cherry Hill,NJ,Cherry Hill,NJ
JW23,Sacramento,CA,Hong Kong,,Madison,WI
JW24,Ft. Atkinson,WI,Jefferson,WI,Madison,WI
JW25,Hillsboro,WI,Elroy,WI,Madison,WI
JW26,Mt. Kisco,NY,Verona,WI,Madison,WI
JW27,Blair,WI,Blair,WI,Blair,WI
JW28,Madison,WI,Madison,WI,Rhinelander,WI
JW29,Milwaukee,WI,Milwaukee,WI,Milwaukee,WI
JW30,Edina,MN,Edina,MN,Edina,MN
JW31,Chilton,WI,New Holstein,WI,New Holstein,WI
JW32,Souix City,IA,Huron,SD,La Crosse,WI
JW33,Buena Vista,CO,Minneapolis,MN,Minneapolis,MN
JW34,Amery,WI,Amery,WI,Amery,WI
JW35,Beaver Dam,WI,Waupon,WI,Waupon,WI
JW36,Blue Island,IL,Park Forrest,IL,Park Forrest,IL
JW37,Los Angeles,CA,Morgan,CA,Ithaca,NY
JW38/2,Brooklyn,NY,Great Neck,NY,Great Neck,NY
JW39,Houston,TX,Rochester,MN,Madison,WI
JW40,Appleton,WI,Green Bay,WI,Green Bay,WI
JW41,Milwaukee,WI,Milwaukee,WI,Milwaukee,WI
JW42,Milwaukee,WI,Greendale,WI,Greendale,WI
JW43,Wauwatosa,WI,Waukesha,WI,Waukesha,WI
JW44,Madison,WI,Madison,WI,Madison,WI
JW45,La Porte,IN,Mishawaka,IN,Madison,WI
JW46,Skokie,IL,Buffalo Grove,IL,Buffalo Grove,IL
JW47/2,Des Moine,IA,Indianola,IA,Madison,WI
JW48,Maywood,IL,Maywood,IL,Madison,WI
JW49,Ashland,WI,Madison,WI,Madison,WI
JW502,Waukesha,WI,Madison,WI,Madison,WI
JW51,Madison,WI,Madison,WI,Madison,WI
JW52,Scarborough,Ontario,Kewanee,IL,Madison,WI
JW53,Ft. Worth,TX,Waukesha,WI,Wauwatosa,WI
JW54,Wonewoc,WI,Wonewoc,WI,Madison,WI
JW55,Witchita,KS,Denver,CO,Madison,WI
JW56,Minneapolis,MN,Edina,MN,Edina,MN
JW57,Racine,WI,Union Grove,WI,Union Grove,WI
JW58,Edison,NJ,Fair Lawn,NJ,Chicago,IL
JW59,Sauk City,WI,Sauk city,WI,Madison,WI
JW60,Fairfax,VA,Columbus,OH,Westchester,OH
JW61,Ann Arbor,MI,Middleton,WI,Middleton,WI
JW62,"Washington, DC",,Crofton,MD,Verona,WI
JW63,Philadelphia,PA,Los Angelos,CA,Los Angeles,CA
